S&S_Title	Wikidata_ID	Director	Director_gender	Screenwriter	Screenwriter_gender	Original_Title	English_Title	IMDb ID	Genre	RT_Score(%)	IMDb_Rating	Language	Silent	Actors	Runtime(min)	Rated	Country	Year	2022_Poll	2012_Poll	Position_2022	Position_2012	OMDb
Intolerance	Q192206	D. W. Griffith	male	D. W. Griffith&Tod Browning&Anita Loos&Frank E. Woods	male&male&female&male	Intolerance	Intolerance	tt0006864	Drama, History	97	7.7	English	true	Lillian Gish, Robert Harron, Mae Marsh	197	Passed	United States	1916	false	true		93	"{""Title"":""Intolerance"",""Year"":""1916"",""Rated"":""Passed"",""Released"":""15 Jun 1917"",""Runtime"":""197 min"",""Genre"":""Drama, History"",""Director"":""D.W. Griffith"",""Writer"":""Hettie Grey Baker, Tod Browning, D.W. Griffith"",""Actors"":""Lillian Gish, Robert Harron, Mae Marsh"",""Plot"":""The story of a poor young woman separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."",""Language"":""English"",""Country"":""United States"",""Awards"":""2 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZTc0YjA1ZjctOTFlZi00NWRiLWE2MTAtZDE1MWY1YTgzOTJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.7/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""},{""Source"":""Metacritic"",""Value"":""99/100""}],""Metascore"":""99"",""imdbRating"":""7.7"",""imdbVotes"":""15,721"",""imdbID"":""tt0006864"",""Type"":""movie"",""DVD"":""07 Dec 1999"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Sherlock Jr	Q1569918	Buster Keaton&Roscoe Arbuckle	male&male	Clyde Bruckman&Jean Havez&Joseph A. Mitchell	male&male&male	Sherlock Jr.	Sherlock Jr.	tt0015324	Action, Comedy, Romance	93	8.2	English	true	Buster Keaton, Kathryn McGuire, Joe Keaton	45	Passed	United States	1924	true	true	54	59	"{""Title"":""Sherlock Jr."",""Year"":""1924"",""Rated"":""Passed"",""Released"":""11 May 1924"",""Runtime"":""45 min"",""Genre"":""Action, Comedy, Romance"",""Director"":""Buster Keaton"",""Writer"":""Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman"",""Actors"":""Buster Keaton, Kathryn McGuire, Joe Keaton"",""Plot"":""A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."",""Language"":""English, None"",""Country"":""United States"",""Awards"":""2 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""93%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""50,308"",""imdbID"":""tt0015324"",""Type"":""movie"",""DVD"":""11 Dec 2012"",""BoxOffice"":""$977,375"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Battleship Potemkin	Q152350	Sergei Eisenstein	male	Sergei Eisenstein&Nikolai Aseev&Sergei Tretyakov&Nina Agadzhanova-Shutko	male&male&male&female	Броненосец «Потёмкин»	Battleship Potemkin	tt0015648	Drama, History, Thriller	100	8.0	Russian	true	Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov	66	Not Rated	Soviet Union	1925	true	true	54	11	"{""Title"":""Battleship Potemkin"",""Year"":""1925"",""Rated"":""Not Rated"",""Released"":""24 Dec 1925"",""Runtime"":""66 min"",""Genre"":""Drama, History, Thriller"",""Director"":""Sergei Eisenstein"",""Writer"":""Nina Agadzhanova, Sergei Eisenstein, Grigoriy Aleksandrov"",""Actors"":""Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov"",""Plot"":""In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."",""Language"":""None, Russian, English"",""Country"":""Soviet Union"",""Awards"":""1 win"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.0/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""},{""Source"":""Metacritic"",""Value"":""97/100""}],""Metascore"":""97"",""imdbRating"":""8.0"",""imdbVotes"":""58,093"",""imdbID"":""tt0015648"",""Type"":""movie"",""DVD"":""04 Nov 2003"",""BoxOffice"":""$51,198"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Greed	Q690583	Erich von Stroheim	male	Joseph Farnham&Erich von Stroheim&June Mathis	male&male&female	Greed	Greed	tt0015881	Drama, Thriller, Western	96	8.1	English	true	Gibson Gowland, Zasu Pitts, Jean Hersholt	140	Not Rated	United States	1925	false	true		84	"{""Title"":""Greed"",""Year"":""1924"",""Rated"":""Not Rated"",""Released"":""26 Jan 1925"",""Runtime"":""140 min"",""Genre"":""Drama, Thriller, Western"",""Director"":""Erich von Stroheim"",""Writer"":""June Mathis, Erich von Stroheim, Frank Norris"",""Actors"":""Gibson Gowland, Zasu Pitts, Jean Hersholt"",""Plot"":""The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved."",""Language"":""None, English"",""Country"":""United States"",""Awards"":""1 win"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""96%""}],""Metascore"":""N/A"",""imdbRating"":""8.1"",""imdbVotes"":""10,116"",""imdbID"":""tt0015881"",""Type"":""movie"",""DVD"":""01 Jan 2009"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The General	Q850159	Buster Keaton&Clyde Bruckman	male&male	Al Boasberg&Paul Girard Smith&Clyde Bruckman&Charles Henry Smith&William Pittenger&Buster Keaton	male&male&male&male&male&male	The General	The General	tt0017925	Action, Adventure, Comedy	92	8.2	English	true	Buster Keaton, Marion Mack, Glen Cavender	67	Passed	United States	1926	true	true	95	34	"{""Title"":""The General"",""Year"":""1926"",""Rated"":""Passed"",""Released"":""02 Jan 1927"",""Runtime"":""67 min"",""Genre"":""Action, Adventure, Comedy"",""Director"":""Clyde Bruckman, Buster Keaton"",""Writer"":""Buster Keaton, Clyde Bruckman, Al Boasberg"",""Actors"":""Buster Keaton, Marion Mack, Glen Cavender"",""Plot"":""After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene..."",""Language"":""None"",""Country"":""United States"",""Awards"":""2 wins & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""92%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""92,056"",""imdbID"":""tt0017925"",""Type"":""movie"",""DVD"":""22 Mar 2007"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Metropolis	Q151599	Fritz Lang	male	Fritz Lang&Thea von Harbou	male&female	Metropolis	Metropolis	tt0017136	Drama, Sci-Fi	97	8.3	German	true	Brigitte Helm, Alfred Abel, Gustav Fröhlich	153	Not Rated	Germany	1927	true	true	67	35	"{""Title"":""Metropolis"",""Year"":""1927"",""Rated"":""Not Rated"",""Released"":""13 Mar 1927"",""Runtime"":""153 min"",""Genre"":""Drama, Sci-Fi"",""Director"":""Fritz Lang"",""Writer"":""Thea von Harbou, Fritz Lang"",""Actors"":""Brigitte Helm, Alfred Abel, Gustav Fröhlich"",""Plot"":""In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."",""Language"":""German, English"",""Country"":""Germany"",""Awards"":""6 wins & 7 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""},{""Source"":""Metacritic"",""Value"":""98/100""}],""Metascore"":""98"",""imdbRating"":""8.3"",""imdbVotes"":""174,823"",""imdbID"":""tt0017136"",""Type"":""movie"",""DVD"":""22 Mar 2007"",""BoxOffice"":""$1,236,166"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Sunrise: A Song of Two Humans	Q431093	F. W. Murnau	male	Carl Mayer&Hermann Sudermann	male&male	Sunrise	Sunrise	tt0018455	Drama, Romance	98	8.1	English	true	George O'Brien, Janet Gaynor, Margaret Livingston	94	Passed	United States	1927	true	true	11	5	"{""Title"":""Sunrise"",""Year"":""1927"",""Rated"":""Passed"",""Released"":""04 Nov 1927"",""Runtime"":""94 min"",""Genre"":""Drama, Romance"",""Director"":""F.W. Murnau"",""Writer"":""Carl Mayer, Hermann Sudermann, Katherine Hilliker"",""Actors"":""George O'Brien, Janet Gaynor, Margaret Livingston"",""Plot"":""A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme."",""Language"":""None, English"",""Country"":""United States"",""Awards"":""Won 3 Oscars. 9 wins & 4 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""}],""Metascore"":""N/A"",""imdbRating"":""8.1"",""imdbVotes"":""51,379"",""imdbID"":""tt0018455"",""Type"":""movie"",""DVD"":""12 Oct 2004"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Passion of Joan of Arc	Q51520	Carl Theodor Dreyer	male	Joseph Delteil&Carl Theodor Dreyer	male&male	La Passion de Jeanne d'Arc	The Passion of Joan of Arc	tt0019254	Biography, Drama, History	98	8.2	French	true	Maria Falconetti, Eugene Silvain, André Berley	114	Passed	France	1927	true	true	21	9	"{""Title"":""The Passion of Joan of Arc"",""Year"":""1928"",""Rated"":""Passed"",""Released"":""25 Oct 1928"",""Runtime"":""114 min"",""Genre"":""Biography, Drama, History"",""Director"":""Carl Theodor Dreyer"",""Writer"":""Joseph Delteil, Carl Theodor Dreyer"",""Actors"":""Maria Falconetti, Eugene Silvain, André Berley"",""Plot"":""In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."",""Language"":""None, French"",""Country"":""France"",""Awards"":""5 wins & 2 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""55,266"",""imdbID"":""tt0019254"",""Type"":""movie"",""DVD"":""09 Nov 1999"",""BoxOffice"":""$21,877"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Un chien andalou	Q190575	Luis Buñuel	male	Salvador Dalí&Luis Buñuel	male&male	Un chien andalou	Un chien andalou	tt0020530	Short, Fantasy, Horror		7.7	French	true	Pierre Batcheff, Simone Mareuil, Luis Buñuel	16	Not Rated	France	1928	false	true		93	"{""Title"":""Un chien andalou"",""Year"":""1929"",""Rated"":""Not Rated"",""Released"":""06 Jun 1929"",""Runtime"":""16 min"",""Genre"":""Short, Fantasy, Horror"",""Director"":""Luis Buñuel"",""Writer"":""Salvador Dalí, Luis Buñuel"",""Actors"":""Pierre Batcheff, Simone Mareuil, Luis Buñuel"",""Plot"":""Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery."",""Language"":""French"",""Country"":""France"",""Awards"":""N/A"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMjZlY2RjM2ItZGEwOC00ODQwLWFhZDYtMjE3ODMyYWNiOWNlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.7/10""}],""Metascore"":""N/A"",""imdbRating"":""7.7"",""imdbVotes"":""50,451"",""imdbID"":""tt0020530"",""Type"":""movie"",""DVD"":""N/A"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Man with a Movie Camera	Q829250	Dziga Vertov	male	Dziga Vertov	male	Человек с киноаппаратом	Man with a Movie Camera	tt0019760	Documentary, Music	98	8.4	Russian	true	Mikhail Kaufman, Elizaveta Svilova	68	Not Rated	Soviet Union	1929	true	true	9	8	"{""Title"":""Man with a Movie Camera"",""Year"":""1929"",""Rated"":""Not Rated"",""Released"":""12 May 1929"",""Runtime"":""68 min"",""Genre"":""Documentary, Music"",""Director"":""Dziga Vertov"",""Writer"":""Dziga Vertov"",""Actors"":""Mikhail Kaufman, Elizaveta Svilova"",""Plot"":""A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention."",""Language"":""None"",""Country"":""Soviet Union"",""Awards"":""1 win & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYTc3NGVlN2QtYWJlZi00YjhjLThiZjctZDA1MmE1NGI4ZmE4XkEyXkFqcGdeQXVyODQyNDU4OTk@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.4/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""}],""Metascore"":""N/A"",""imdbRating"":""8.4"",""imdbVotes"":""25,361"",""imdbID"":""tt0019760"",""Type"":""movie"",""DVD"":""16 Feb 1999"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
